cohort,gene,present,in_pam50
GSE20685,ACTL10,TRUE,FALSE
GSE20685,ACTL6A,TRUE,FALSE
GSE20685,ACTL6B,TRUE,FALSE
GSE20685,ACTL7A,TRUE,FALSE
GSE20685,ACTL7B,TRUE,FALSE
GSE20685,ACTL8,TRUE,FALSE
GSE20685,ACTL9,TRUE,FALSE
GSE20685,ACTMAP,TRUE,FALSE
GSE20685,ACTN1,TRUE,FALSE
GSE20685,ACTN2,TRUE,FALSE
GSE20685,ACTN3,TRUE,FALSE
GSE20685,ACTN4,TRUE,FALSE
GSE20685,ACTR10,TRUE,FALSE
GSE20685,ACTR1A,TRUE,FALSE
GSE20685,ACTR1B,TRUE,FALSE
GSE20685,ACTR2,TRUE,FALSE
GSE20685,ACTR3,TRUE,FALSE
GSE20685,ACTR3-AS1,TRUE,FALSE
GSE20685,ACTR3B,TRUE,TRUE
GSE20685,ACTR3BP2,TRUE,FALSE
GSE20685,ACTR3BP5,TRUE,FALSE
GSE20685,ACTR3BP6,TRUE,FALSE
GSE20685,ACTR3C,TRUE,FALSE
GSE20685,ACTR5,TRUE,FALSE
GSE20685,ACTR6,TRUE,FALSE
GSE20685,ACTR8,TRUE,FALSE
GSE20685,ACTRT2,TRUE,FALSE
GSE20685,ACTRT3,TRUE,FALSE
GSE20685,ACVR1,TRUE,FALSE
GSE20685,ACVR1B,TRUE,FALSE
GSE20685,ACVR1C,TRUE,FALSE
GSE20685,ACVR2A,TRUE,FALSE
GSE20685,ACVR2B,TRUE,FALSE
GSE20685,ACVR2B-AS1,TRUE,FALSE
GSE20685,ACVRL1,TRUE,FALSE
GSE20685,ACY1,TRUE,FALSE
GSE20685,ACY3,TRUE,FALSE
GSE20685,ACYP1,TRUE,FALSE
GSE20685,ACYP2,TRUE,FALSE
GSE20685,ADA,TRUE,FALSE
GSE20685,ADA2,TRUE,FALSE
GSE20685,ADAD1,TRUE,FALSE
GSE20685,ADAD2,TRUE,FALSE
GSE20685,ADAM10,TRUE,FALSE
GSE20685,ADAM11,TRUE,FALSE
GSE20685,ADAM12,TRUE,FALSE
GSE20685,ADAM15,TRUE,FALSE
GSE20685,ADAM17,TRUE,FALSE
GSE20685,ADAM18,TRUE,FALSE
GSE20685,ADAM19,TRUE,FALSE
GSE20685,ADAM2,TRUE,FALSE
GSE20685,ADAM20,TRUE,FALSE
GSE20685,ADAM21,TRUE,FALSE
GSE20685,ADAM22,TRUE,FALSE
GSE20685,ADAM23,TRUE,FALSE
GSE20685,ADAM28,TRUE,FALSE
GSE20685,ADAM29,TRUE,FALSE
GSE20685,ADAM30,TRUE,FALSE
GSE20685,ADAM32,TRUE,FALSE
GSE20685,ADAM33,TRUE,FALSE
GSE20685,ADAM3A,TRUE,FALSE
GSE20685,ADAM3B,TRUE,FALSE
GSE20685,ADAM5,TRUE,FALSE
GSE20685,ADAM6,TRUE,FALSE
GSE20685,ADAM7,TRUE,FALSE
GSE20685,ADAM7-AS2,TRUE,FALSE
GSE20685,ADAM8,TRUE,FALSE
GSE20685,ADAM9,TRUE,FALSE
GSE20685,ADAMDEC1,TRUE,FALSE
GSE20685,ADAMTS1,TRUE,FALSE
GSE20685,ADAMTS10,TRUE,FALSE
GSE20685,ADAMTS12,TRUE,FALSE
GSE20685,ADAMTS13,TRUE,FALSE
GSE20685,ADAMTS14,TRUE,FALSE
GSE20685,ADAMTS15,TRUE,FALSE
GSE20685,ADAMTS16,TRUE,FALSE
GSE20685,ADAMTS16-DT,TRUE,FALSE
GSE20685,ADAMTS17,TRUE,FALSE
GSE20685,ADAMTS18,TRUE,FALSE
GSE20685,ADAMTS19,TRUE,FALSE
GSE20685,ADAMTS2,TRUE,FALSE
GSE20685,ADAMTS20,TRUE,FALSE
GSE20685,ADAMTS3,TRUE,FALSE
GSE20685,ADAMTS4,TRUE,FALSE
GSE20685,ADAMTS5,TRUE,FALSE
GSE20685,ADAMTS6,TRUE,FALSE
GSE20685,ADAMTS7,TRUE,FALSE
GSE20685,ADAMTS8,TRUE,FALSE
GSE20685,ADAMTS9,TRUE,FALSE
GSE20685,ADAMTS9-AS1,TRUE,FALSE
GSE20685,ADAMTS9-AS2,TRUE,FALSE
GSE20685,ADAMTSL1,TRUE,FALSE
GSE20685,ADAMTSL2,TRUE,FALSE
GSE20685,ADAMTSL3,TRUE,FALSE
GSE20685,ADAMTSL4,TRUE,FALSE
GSE20685,ADAMTSL4-AS2,TRUE,FALSE
GSE20685,ADAMTSL5,TRUE,FALSE
GSE20685,ADAP1,TRUE,FALSE
GSE20685,ADAP2,TRUE,FALSE
GSE20685,ADAR,TRUE,FALSE
GSE20685,ADARB1,TRUE,FALSE
GSE20685,ADARB2,TRUE,FALSE
GSE20685,ADARB2-AS1,TRUE,FALSE
GSE20685,ADAT1,TRUE,FALSE
GSE20685,ADAT2,TRUE,FALSE
GSE20685,ADAT3,TRUE,FALSE
GSE20685,ADCK1,TRUE,FALSE
GSE20685,ADCK2,TRUE,FALSE
GSE20685,ADCK5,TRUE,FALSE
GSE20685,ADCY1,TRUE,FALSE
GSE20685,ADCY10,TRUE,FALSE
GSE20685,ADCY10P1,TRUE,FALSE
GSE20685,ADCY2,TRUE,FALSE
GSE20685,ADCY3,TRUE,FALSE
GSE20685,ADCY4,TRUE,FALSE
GSE20685,ADCY5,TRUE,FALSE
GSE20685,ADCY6,TRUE,FALSE
GSE20685,ADCY6-DT,TRUE,FALSE
GSE20685,ADCY7,TRUE,FALSE
GSE20685,ADCY8,TRUE,FALSE
GSE20685,ADCY9,TRUE,FALSE
GSE20685,ADCYAP1,TRUE,FALSE
GSE20685,ADCYAP1R1,TRUE,FALSE
GSE20685,ADD1,TRUE,FALSE
GSE20685,ADD2,TRUE,FALSE
GSE20685,ADD3,TRUE,FALSE
GSE20685,ADD3-AS1,TRUE,FALSE
GSE20685,ADGB,TRUE,FALSE
GSE20685,ADGB-DT,TRUE,FALSE
GSE20685,ADGRA1,TRUE,FALSE
GSE20685,ADGRA2,TRUE,FALSE
GSE20685,ADGRA3,TRUE,FALSE
GSE20685,ADGRB1,TRUE,FALSE
GSE20685,ADGRB2,TRUE,FALSE
GSE20685,ADGRB3,TRUE,FALSE
GSE20685,ADGRB3-DT,TRUE,FALSE
GSE20685,ADGRD1,TRUE,FALSE
GSE20685,ADGRD2,TRUE,FALSE
GSE20685,ADGRE1,TRUE,FALSE
GSE20685,ADGRE2,TRUE,FALSE
GSE20685,ADGRE3,TRUE,FALSE
GSE20685,ADGRE5,TRUE,FALSE
GSE20685,ADGRF1,TRUE,FALSE
GSE20685,ADGRF2P,TRUE,FALSE
GSE20685,ADGRF3,TRUE,FALSE
GSE20685,ADGRF4,TRUE,FALSE
GSE20685,ADGRF5,TRUE,FALSE
GSE20685,ADGRF5-AS1,TRUE,FALSE
GSE20685,ADGRG1,TRUE,FALSE
GSE20685,ADGRG2,TRUE,FALSE
GSE20685,ADGRG3,TRUE,FALSE
GSE20685,ADGRG4,TRUE,FALSE
GSE20685,ADGRG5,TRUE,FALSE
GSE20685,ADGRG6,TRUE,FALSE
GSE20685,ADGRG7,TRUE,FALSE
GSE20685,ADGRL1,TRUE,FALSE
GSE20685,ADGRL2,TRUE,FALSE
GSE20685,ADGRL3,TRUE,FALSE
GSE20685,ADGRL4,TRUE,FALSE
GSE20685,ADGRV1,TRUE,FALSE
GSE20685,ADH1A,TRUE,FALSE
GSE20685,ADH1B,TRUE,FALSE
GSE20685,ADH1C,TRUE,FALSE
GSE20685,ADH4,TRUE,FALSE
GSE20685,ADH5,TRUE,FALSE
GSE20685,ADH6,TRUE,FALSE
GSE20685,ADH7,TRUE,FALSE
GSE20685,ADHFE1,TRUE,FALSE
GSE20685,ADI1,TRUE,FALSE
GSE20685,ADIG,TRUE,FALSE
GSE20685,ADIPOQ,TRUE,FALSE
GSE20685,ADIPOR1,TRUE,FALSE
GSE20685,ADIPOR2,TRUE,FALSE
GSE20685,ADIRF,TRUE,FALSE
GSE20685,ADIRF-AS1,TRUE,FALSE
GSE20685,ADISSP,TRUE,FALSE
GSE20685,ADK,TRUE,FALSE
GSE20685,ADM,TRUE,FALSE
GSE20685,ADM2,TRUE,FALSE
GSE20685,ADM5,TRUE,FALSE
GSE20685,ADNP,TRUE,FALSE
GSE20685,ADNP2,TRUE,FALSE
GSE20685,ADO,TRUE,FALSE
GSE20685,ADORA1,TRUE,FALSE
GSE20685,ADORA2A,TRUE,FALSE
GSE20685,ADORA2A-AS1,TRUE,FALSE
GSE20685,ADORA2B,TRUE,FALSE
GSE20685,ADORA3,TRUE,FALSE
GSE20685,ADPGK,TRUE,FALSE
GSE20685,ADPRH,TRUE,FALSE
GSE20685,ADPRHL1,TRUE,FALSE
GSE20685,ADPRM,TRUE,FALSE
GSE20685,ADPRS,TRUE,FALSE
GSE20685,ADRA1A,TRUE,FALSE
GSE20685,ADRA1B,TRUE,FALSE
GSE20685,ADRA1D,TRUE,FALSE
GSE20685,ADRA2A,TRUE,FALSE
GSE20685,ADRA2B,TRUE,FALSE
GSE20685,ADRA2C,TRUE,FALSE
GSE20685,ADRB1,TRUE,FALSE
GSE20685,ADRB2,TRUE,FALSE
GSE20685,ADRB3,TRUE,FALSE
GSE20685,ADRM1,TRUE,FALSE
GSE20685,ADSL,TRUE,FALSE
GSE20685,ADSS1,TRUE,FALSE
GSE20685,ADSS2,TRUE,FALSE
GSE20685,ADTRP,TRUE,FALSE
GSE20685,AEBP1,TRUE,FALSE
GSE20685,AEBP2,TRUE,FALSE
GSE20685,AEN,TRUE,FALSE
GSE20685,AFAP1,TRUE,FALSE
GSE20685,AFAP1-AS1,TRUE,FALSE
GSE20685,AFAP1L1,TRUE,FALSE
GSE20685,AFAP1L2,TRUE,FALSE
GSE20685,AFDN,TRUE,FALSE
GSE20685,AFDN-DT,TRUE,FALSE
GSE20685,AFF1,TRUE,FALSE
GSE20685,AFF2,TRUE,FALSE
GSE20685,AFF3,TRUE,FALSE
GSE20685,AFF4,TRUE,FALSE
GSE20685,AFG1L,TRUE,FALSE
GSE20685,AFG2A,TRUE,FALSE
GSE20685,AFG2B,TRUE,FALSE
GSE20685,AFG3L1P,TRUE,FALSE
GSE20685,AFG3L2,TRUE,FALSE
GSE20685,AFM,TRUE,FALSE
GSE20685,AFMID,TRUE,FALSE
GSE20685,AFP,TRUE,FALSE
GSE20685,AFTPH,TRUE,FALSE
GSE20685,AFTPH-DT,TRUE,FALSE
GSE20685,AGA,TRUE,FALSE
GSE20685,AGA-DT,TRUE,FALSE
GSE20685,AGAP1,TRUE,FALSE
GSE20685,AGAP11,TRUE,FALSE
GSE20685,AGAP2,TRUE,FALSE
GSE20685,AGAP2-AS1,TRUE,FALSE
GSE20685,AGAP3,TRUE,FALSE
GSE20685,AGAP4,TRUE,FALSE
GSE20685,AGAP9,TRUE,FALSE
GSE20685,AGBL1,TRUE,FALSE
GSE20685,AGBL2,TRUE,FALSE
GSE20685,AGBL3,TRUE,FALSE
GSE20685,AGBL4,TRUE,FALSE
GSE20685,AGBL5,TRUE,FALSE
GSE20685,AGER,TRUE,FALSE
GSE20685,AGFG1,TRUE,FALSE
GSE20685,AGFG2,TRUE,FALSE
GSE20685,AGGF1,TRUE,FALSE
GSE20685,AGK,TRUE,FALSE
GSE20685,AGL,TRUE,FALSE
GSE20685,AGMAT,TRUE,FALSE
GSE20685,AGO1,TRUE,FALSE
GSE20685,AGO2,TRUE,FALSE
GSE20685,AGO3,TRUE,FALSE
GSE20685,AGO4,TRUE,FALSE
GSE20685,AGPAT1,TRUE,FALSE
GSE20685,AGPAT2,TRUE,FALSE
GSE20685,AGPAT3,TRUE,FALSE
GSE20685,AGPAT4,TRUE,FALSE
GSE20685,AGPAT4-IT1,TRUE,FALSE
GSE20685,AGPAT5,TRUE,FALSE
GSE20685,AGPS,TRUE,FALSE
GSE20685,AGR2,TRUE,FALSE
GSE20685,AGR3,TRUE,FALSE
GSE20685,AGRN,TRUE,FALSE
GSE20685,AGRP,TRUE,FALSE
GSE20685,AGT,TRUE,FALSE
GSE20685,AGTPBP1,TRUE,FALSE
GSE20685,AGTR1,TRUE,FALSE
GSE20685,AGTR2,TRUE,FALSE
GSE20685,AGTRAP,TRUE,FALSE
GSE20685,AGXT,TRUE,FALSE
GSE20685,AGXT2,TRUE,FALSE
GSE20685,AHCTF1,TRUE,FALSE
GSE20685,AHCY,TRUE,FALSE
GSE20685,AHCYL1,TRUE,FALSE
GSE20685,AHCYL2,TRUE,FALSE
GSE20685,AHDC1,TRUE,FALSE
GSE20685,AHI1,TRUE,FALSE
GSE20685,AHI1-DT,TRUE,FALSE
GSE20685,AHNAK,TRUE,FALSE
GSE20685,AHNAK2,TRUE,FALSE
GSE20685,AHR,TRUE,FALSE
GSE20685,AHSA1,TRUE,FALSE
GSE20685,AHSA2P,TRUE,FALSE
GSE20685,AHSG,TRUE,FALSE
GSE20685,AHSP,TRUE,FALSE
GSE20685,AICDA,TRUE,FALSE
GSE20685,AIDA,TRUE,FALSE
GSE20685,AIF1,TRUE,FALSE
GSE20685,AIF1L,TRUE,FALSE
GSE20685,AIFM1,TRUE,FALSE
GSE20685,AIFM2,TRUE,FALSE
GSE20685,AIFM3,TRUE,FALSE
GSE20685,AIG1,TRUE,FALSE
GSE20685,AIM2,TRUE,FALSE
GSE20685,AIMP1,TRUE,FALSE
GSE20685,AIMP2,TRUE,FALSE
GSE20685,AIP,TRUE,FALSE
GSE20685,AIPL1,TRUE,FALSE
GSE20685,AIRE,TRUE,FALSE
GSE20685,AIRIM,TRUE,FALSE
GSE20685,AJAP1,TRUE,FALSE
GSE20685,AJM1,TRUE,FALSE
GSE20685,AJUBA,TRUE,FALSE
GSE20685,AK1,TRUE,FALSE
GSE20685,AK2,TRUE,FALSE
GSE20685,AK3,TRUE,FALSE
GSE20685,AK4,TRUE,FALSE
GSE20685,AK5,TRUE,FALSE
GSE20685,AK6,TRUE,FALSE
GSE20685,AK7,TRUE,FALSE
GSE20685,AK8,TRUE,FALSE
GSE20685,AK9,TRUE,FALSE
GSE20685,AKAIN1,TRUE,FALSE
GSE20685,AKAP1,TRUE,FALSE
GSE20685,AKAP10,TRUE,FALSE
GSE20685,AKAP11,TRUE,FALSE
GSE20685,AKAP12,TRUE,FALSE
GSE20685,AKAP13,TRUE,FALSE
GSE20685,AKAP14,TRUE,FALSE
GSE20685,AKAP17A,TRUE,FALSE
GSE20685,AKAP3,TRUE,FALSE
GSE20685,AKAP4,TRUE,FALSE
GSE20685,AKAP5,TRUE,FALSE
GSE20685,AKAP6,TRUE,FALSE
GSE20685,AKAP7,TRUE,FALSE
GSE20685,AKAP8,TRUE,FALSE
GSE20685,AKAP8L,TRUE,FALSE
GSE20685,AKAP9,TRUE,FALSE
GSE20685,AKIP1,TRUE,FALSE
GSE20685,AKIRIN1,TRUE,FALSE
GSE20685,AKIRIN2,TRUE,FALSE
GSE20685,AKNA,TRUE,FALSE
GSE20685,AKNAD1,TRUE,FALSE
GSE20685,AKR1A1,TRUE,FALSE
GSE20685,AKR1B1,TRUE,FALSE
GSE20685,AKR1B10,TRUE,FALSE
GSE20685,AKR1C1,TRUE,FALSE
GSE20685,AKR1C2,TRUE,FALSE
GSE20685,AKR1C3,TRUE,FALSE
GSE20685,AKR1C4,TRUE,FALSE
GSE20685,AKR1C6P,TRUE,FALSE
GSE20685,AKR1D1,TRUE,FALSE
GSE20685,AKR1E2,TRUE,FALSE
GSE20685,AKR7A2,TRUE,FALSE
GSE20685,AKR7A3,TRUE,FALSE
GSE20685,AKT1,TRUE,FALSE
GSE20685,AKT1S1,TRUE,FALSE
GSE20685,AKT2,TRUE,FALSE
GSE20685,AKT3,TRUE,FALSE
GSE20685,AKTIP,TRUE,FALSE
GSE20685,ALAD,TRUE,FALSE
GSE20685,ALAS1,TRUE,FALSE
GSE20685,ALAS2,TRUE,FALSE
GSE20685,ALB,TRUE,FALSE
GSE20685,ALCAM,TRUE,FALSE
GSE20685,ALDH16A1,TRUE,FALSE
GSE20685,ALDH18A1,TRUE,FALSE
GSE20685,ALDH1A1,TRUE,FALSE
GSE20685,ALDH1A2,TRUE,FALSE
GSE20685,ALDH1A2-AS1,TRUE,FALSE
GSE20685,ALDH1A3,TRUE,FALSE
GSE20685,ALDH1B1,TRUE,FALSE
GSE20685,ALDH1L1,TRUE,FALSE
GSE20685,ALDH1L1-AS2,TRUE,FALSE
GSE20685,ALDH1L2,TRUE,FALSE
GSE20685,ALDH2,TRUE,FALSE
GSE20685,ALDH3A1,TRUE,FALSE
GSE20685,ALDH3A2,TRUE,FALSE
GSE20685,ALDH3B1,TRUE,FALSE
GSE20685,ALDH3B2,TRUE,FALSE
GSE20685,ALDH4A1,TRUE,FALSE
GSE20685,ALDH5A1,TRUE,FALSE
GSE20685,ALDH6A1,TRUE,FALSE
GSE20685,ALDH7A1,TRUE,FALSE
GSE20685,ALDH8A1,TRUE,FALSE
GSE20685,ALDH9A1,TRUE,FALSE
GSE20685,ALDOA,TRUE,FALSE
GSE20685,ALDOAP2,TRUE,FALSE
GSE20685,ALDOB,TRUE,FALSE
GSE20685,ALDOC,TRUE,FALSE
GSE20685,ALG1,TRUE,FALSE
GSE20685,ALG10,TRUE,FALSE
GSE20685,ALG10B,TRUE,FALSE
GSE20685,ALG12,TRUE,FALSE
GSE20685,ALG13,TRUE,FALSE
GSE20685,ALG14,TRUE,FALSE
GSE20685,ALG2,TRUE,FALSE
GSE20685,ALG3,TRUE,FALSE
GSE20685,ALG5,TRUE,FALSE
GSE20685,ALG6,TRUE,FALSE
GSE20685,ALG8,TRUE,FALSE
GSE20685,ALG9,TRUE,FALSE
GSE20685,ALK,TRUE,FALSE
GSE20685,ALKAL2,TRUE,FALSE
GSE20685,ALKBH1,TRUE,FALSE
GSE20685,ALKBH2,TRUE,FALSE
GSE20685,ALKBH3,TRUE,FALSE
GSE20685,ALKBH3-AS1,TRUE,FALSE
GSE20685,ALKBH4,TRUE,FALSE
GSE20685,ALKBH5,TRUE,FALSE
GSE20685,ALKBH6,TRUE,FALSE
GSE20685,ALKBH7,TRUE,FALSE
GSE20685,ALKBH8,TRUE,FALSE
GSE20685,ALLC,TRUE,FALSE
GSE20685,ALMS1,TRUE,FALSE
GSE20685,ALMS1-IT1,TRUE,FALSE
GSE20685,ALMS1P1,TRUE,FALSE
GSE20685,ALOX12,TRUE,FALSE
GSE20685,ALOX12B,TRUE,FALSE
GSE20685,ALOX12P2,TRUE,FALSE
GSE20685,ALOX15,TRUE,FALSE
GSE20685,ALOX15B,TRUE,FALSE
GSE20685,ALOX5,TRUE,FALSE
